dish_id,dish_name,dish_type,region,spicy_level,cooking_time_minutes,difficulty_level,description
D033,ต้มจืดเต้าหู้หมูสับ,ต้ม,กลาง,0,20,1,ซุปใสต้มด้วยเต้าหู้ หมูสับ และผักกาดขาว
D034,ไก่ย่าง,ปิ้ง/ย่าง,อีสาน,2,45,2,ไก่หมักเครื่องปรุงย่างไฟอ่อนๆ ทานคู่กับน้ำจิ้มแจ่ว
D035,แกงจืดวุ้นเส้น,ต้ม,กลาง,0,20,1,ซุปใสต้มด้วยวุ้นเส้น หมูสับ และผัก
D036,ข้าวผัดปู,ผัด,กลาง,1,20,2,ข้าวผัดกับเนื้อปู ไข่ และผัก เสิร์ฟพร้อมแตงกวาและมะนาว
D037,หมูกระทะ,ปิ้ง/ย่าง,อีสาน,2,45,2,หมูและเครื่องในหมักเครื่องปรุงย่างบนกระทะร้อน
D038,ปลาราดพริก,ทอด,กลาง,4,30,2,ปลาทอดราดด้วยซอสพริกหวาน
D039,หมี่กรอบ,ทอด,กลาง,2,25,2,หมี่ทอดกรอบราดด้วยซอสรสหวานและเปรี้ยว
D040,ยำหมูย่าง,ยำ,อีสาน,4,30,2,หมูย่างหั่นชิ้นยำกับเครื่องปรุงรสเผ็ดเปรี้ยว
D041,ปลาสามรส,ทอด,กลาง,3,35,3,ปลาทอดราดซอสเปรี้ยวหวานเผ็ด
D042,ก๋วยเตี๋ยวต้มยำ,ต้ม,กลาง,4,20,2,ก๋วยเตี๋ยวน้ำซุปรสต้มยำ ใส่เนื้อสัตว์และผัก
D043,หมูทอดกระเทียม,ทอด,กลาง,1,20,1,หมูทอดหมักกระเทียมและพริกไทย กรอบนอกนุ่มใน
D044,ยำถั่วพู,ยำ,กลาง,3,20,2,ถั่วพูลวกยำกับกุ้ง หมูสับ รสเผ็ดเปรี้ยว
D045,แกงฮังเล,แกง,เหนือ,2,90,4,แกงเนื้อหมูใส่ขิง กระเทียม และเครื่องเทศ รสหวานเผ็ดกลมกล่อม
D046,สุกี้น้ำ,ต้ม,กลาง,2,25,2,วุ้นเส้นและเนื้อสัตว์ต้มในน้ำซุป ทานคู่กับน้ำจิ้มสุกี้
D047,ไข่ลูกเขย,ทอด,กลาง,2,30,2,ไข่ต้มทอดกรอบราดด้วยน้ำปรุงรสหวานเปรี้ยว
D048,ข้าวต้มปลา,ต้ม,กลาง,1,30,2,ข้าวต้มใส่ปลาและขิง เสิร์ฟพร้อมผักสด
D049,ปลาร้าทรงเครื่อง,ผัด,อีสาน,4,30,3,ปลาร้าผัดกับเครื่องแกงและเครื่องเคียงหลายชนิด
D050,กระเพาะปลาน้ำแดง,ต้ม,กลาง,1,60,4,ซุปกระเพาะปลากับเนื้อปลา เห็ดหอม และผัก รสกลมกล่อม
